Duration (s),Speaker,start_ms,end_ms
1654,SPEAKER_00,497,2151
540,SPEAKER_01,15449,15989
5097,SPEAKER_00,18975,24072
692,SPEAKER_01,24308,25000
1941,SPEAKER_00,25455,27396
2582,SPEAKER_01,27818,30400
996,SPEAKER_00,31598,32594
3341,SPEAKER_01,33100,36441
8370,SPEAKER_00,35310,43680
3426,SPEAKER_01,43849,47275
2970,SPEAKER_00,47325,50295
4219,SPEAKER_01,51730,55949
5990,SPEAKER_00,55510,61500
5451,SPEAKER_01,61500,66951
6278,SPEAKER_00,66951,73229
2514,SPEAKER_01,73313,75827
4050,SPEAKER_00,76570,80620
15458,SPEAKER_01,80974,96432
489,SPEAKER_00,83894,84383
1873,SPEAKER_00,96752,98625
1806,SPEAKER_01,98794,100600
2075,SPEAKER_00,100364,102439
7121,SPEAKER_01,102709,109830
777,SPEAKER_00,109830,110607
7577,SPEAKER_01,110607,118184
894,SPEAKER_00,118184,119078
7729,SPEAKER_01,119078,126807
1013,SPEAKER_00,122436,123449
2329,SPEAKER_00,127127,129456
1384,SPEAKER_01,130080,131464
1620,SPEAKER_00,131160,132780
5417,SPEAKER_01,132831,138248
6025,SPEAKER_01,139395,145420
794,SPEAKER_00,139530,140324
1823,SPEAKER_00,144964,146787
3577,SPEAKER_00,147732,151309
1485,SPEAKER_01,152322,153807
1620,SPEAKER_00,153705,155325
32467,SPEAKER_01,155545,188012
287,SPEAKER_00,183490,183777
490,SPEAKER_00,188299,188789
22882,SPEAKER_01,188789,211671
2936,SPEAKER_00,211671,214607
26038,SPEAKER_01,214759,240797
321,SPEAKER_00,226909,227230
439,SPEAKER_00,238637,239076
1198,SPEAKER_00,240713,241911
8708,SPEAKER_01,242130,250838
591,SPEAKER_00,243345,243936
641,SPEAKER_00,246670,247311
2312,SPEAKER_00,249758,252070
6581,SPEAKER_01,251918,258499
10648,SPEAKER_01,259917,270565
607,SPEAKER_00,270565,271172
3814,SPEAKER_01,271172,274986
4928,SPEAKER_00,274581,279509
15474,SPEAKER_01,279509,294983
777,SPEAKER_00,283187,283964
1147,SPEAKER_00,295118,296265
7121,SPEAKER_01,296367,303488
152,SPEAKER_00,300552,300704
13399,SPEAKER_01,304095,317494
675,SPEAKER_00,312516,313191
1181,SPEAKER_00,317494,318675
15778,SPEAKER_01,319772,335550
7763,SPEAKER_01,336276,344039
3713,SPEAKER_01,344730,348443
641,SPEAKER_00,348443,349084
16723,SPEAKER_01,349084,365807
9703,SPEAKER_01,366550,376253
355,SPEAKER_00,371882,372237
726,SPEAKER_00,376253,376979
10665,SPEAKER_01,377485,388150
743,SPEAKER_00,383745,384488
10412,SPEAKER_01,389331,399743
25329,SPEAKER_01,400823,426152
2312,SPEAKER_00,426068,428380
1620,SPEAKER_01,428650,430270
15390,SPEAKER_01,431333,446723
8690,SPEAKER_00,446909,455599
3122,SPEAKER_01,456055,459177
41631,SPEAKER_00,459784,501415
15508,SPEAKER_00,502157,517665
2953,SPEAKER_01,518290,521243
8623,SPEAKER_00,521108,529731
28063,SPEAKER_00,530440,558503
2565,SPEAKER_00,559262,561827
13584,SPEAKER_00,562941,576525
3493,SPEAKER_00,577639,581132
236,SPEAKER_01,582094,582330
523,SPEAKER_00,582837,583360
2143,SPEAKER_01,583579,585722
4202,SPEAKER_00,585267,589469
6058,SPEAKER_01,590363,596421
7594,SPEAKER_00,596421,604015
2194,SPEAKER_01,604268,606462
2818,SPEAKER_00,606175,608993
7205,SPEAKER_01,609449,616654
25751,SPEAKER_00,616705,642456
911,SPEAKER_01,642709,643620
659,SPEAKER_00,643890,644549
6379,SPEAKER_01,644734,651113
1603,SPEAKER_00,651029,652632
3172,SPEAKER_01,652767,655939
26629,SPEAKER_00,655365,681994
8977,SPEAKER_01,682889,691866
12471,SPEAKER_00,691275,703746
8724,SPEAKER_00,704826,713550
6734,SPEAKER_01,713550,720284
18141,SPEAKER_00,720047,738188
6041,SPEAKER_01,738492,744533
4287,SPEAKER_00,744617,748904
7864,SPEAKER_01,749140,757004
2227,SPEAKER_00,756970,759197
14175,SPEAKER_01,758843,773018
405,SPEAKER_00,763264,763669
8116,SPEAKER_00,773069,781185
4269,SPEAKER_01,781810,786079
5281,SPEAKER_00,785084,790365
371,SPEAKER_01,788712,789083
8505,SPEAKER_01,790433,798938
6632,SPEAKER_00,797858,804490
8876,SPEAKER_01,804203,813079
20571,SPEAKER_00,813231,833802
557,SPEAKER_01,827929,828486
19913,SPEAKER_01,834291,854204
962,SPEAKER_00,854322,855284
5484,SPEAKER_00,856617,862101
203,SPEAKER_01,858709,858912
1435,SPEAKER_00,862725,864160
4269,SPEAKER_01,864295,868564
30915,SPEAKER_00,868649,899564
7121,SPEAKER_01,899952,907073
17854,SPEAKER_01,907967,925821
30730,SPEAKER_00,925770,956500
1805,SPEAKER_01,947995,949800
4776,SPEAKER_00,957681,962457
1147,SPEAKER_01,962609,963756
5552,SPEAKER_00,963435,968987
1148,SPEAKER_01,969240,970388
23254,SPEAKER_00,970388,993642
1401,SPEAKER_01,976412,977813
675,SPEAKER_01,993642,994317
3560,SPEAKER_00,994317,997877
7931,SPEAKER_01,998063,1005994
743,SPEAKER_00,999210,999953
17685,SPEAKER_00,1005994,1023679
12977,SPEAKER_01,1024101,1037078
1249,SPEAKER_00,1037348,1038597
13550,SPEAKER_01,1038867,1052417
793,SPEAKER_00,1052417,1053210
2093,SPEAKER_01,1053767,1055860
9585,SPEAKER_00,1056096,1065681
1367,SPEAKER_01,1057260,1058627
355,SPEAKER_01,1059960,1060315
34981,SPEAKER_01,1065614,1100595
506,SPEAKER_00,1079654,1080160
490,SPEAKER_00,1100595,1101085
725,SPEAKER_01,1101895,1102620
827,SPEAKER_01,1103329,1104156
10749,SPEAKER_01,1104966,1115715
338,SPEAKER_00,1109927,1110265
8167,SPEAKER_01,1116340,1124507
10007,SPEAKER_00,1123022,1133029
16217,SPEAKER_01,1131291,1147508
557,SPEAKER_00,1138935,1139492
101,SPEAKER_00,1144909,1145010
6936,SPEAKER_00,1147457,1154393
338,SPEAKER_01,1152570,1152908
3122,SPEAKER_01,1154865,1157987
5923,SPEAKER_00,1157177,1163100
18563,SPEAKER_01,1163826,1182389
338,SPEAKER_00,1171217,1171555
337,SPEAKER_00,1175909,1176246
6868,SPEAKER_00,1182574,1189442
186,SPEAKER_01,1187046,1187232
5451,SPEAKER_01,1189729,1195180
337,SPEAKER_00,1195180,1195517
6025,SPEAKER_01,1196175,1202200
237,SPEAKER_00,1200377,1200614
16284,SPEAKER_00,1202217,1218501
422,SPEAKER_01,1212139,1212561
17955,SPEAKER_01,1218501,1236456
388,SPEAKER_00,1224407,1224795
253,SPEAKER_00,1226399,1226652
861,SPEAKER_00,1236456,1237317
4623,SPEAKER_01,1237317,1241940
6969,SPEAKER_00,1241907,1248876
911,SPEAKER_01,1249416,1250327
5062,SPEAKER_00,1249619,1254681
16183,SPEAKER_01,1254850,1271033
625,SPEAKER_00,1256807,1257432
489,SPEAKER_00,1262292,1262781
540,SPEAKER_00,1264688,1265228
337,SPEAKER_00,1270645,1270982
1907,SPEAKER_01,1271725,1273632
1198,SPEAKER_00,1274037,1275235
1502,SPEAKER_01,1275353,1276855
2177,SPEAKER_00,1277226,1279403
4810,SPEAKER_01,1279605,1284415
1012,SPEAKER_00,1282508,1283520
2868,SPEAKER_00,1284297,1287165
220,SPEAKER_01,1285815,1286035
14327,SPEAKER_01,1287165,1301492
1114,SPEAKER_00,1292295,1293409
1502,SPEAKER_00,1301678,1303180
8421,SPEAKER_01,1303652,1312073
321,SPEAKER_00,1308529,1308850
338,SPEAKER_00,1310014,1310352
1131,SPEAKER_00,1311769,1312900
11171,SPEAKER_01,1312900,1324071
186,SPEAKER_00,1320679,1320865
911,SPEAKER_00,1324071,1324982
2885,SPEAKER_01,1325219,1328104
590,SPEAKER_00,1327362,1327952
7307,SPEAKER_01,1328847,1336154
8674,SPEAKER_01,1336845,1345519
1147,SPEAKER_00,1340845,1341992
4336,SPEAKER_00,1345604,1349940
17078,SPEAKER_01,1348742,1365820
1721,SPEAKER_00,1357399,1359120
1704,SPEAKER_00,1360808,1362512
12133,SPEAKER_01,1366461,1378594
1198,SPEAKER_00,1368992,1370190
861,SPEAKER_00,1378594,1379455
6446,SPEAKER_01,1379455,1385901
2649,SPEAKER_01,1386880,1389529
1941,SPEAKER_00,1390221,1392162
9855,SPEAKER_01,1392516,1402371
895,SPEAKER_00,1402472,1403367
16082,SPEAKER_01,1404430,1420512
11019,SPEAKER_01,1421187,1432206
321,SPEAKER_00,1426941,1427262
9653,SPEAKER_00,1432206,1441859
1771,SPEAKER_01,1441859,1443630
21263,SPEAKER_00,1443630,1464893
8370,SPEAKER_01,1466192,1474562
1164,SPEAKER_00,1468690,1469854
3949,SPEAKER_00,1474478,1478427
321,SPEAKER_01,1477009,1477330
16537,SPEAKER_01,1478427,1494964
540,SPEAKER_00,1490003,1490543
2110,SPEAKER_00,1494947,1497057
16909,SPEAKER_01,1497698,1514607
338,SPEAKER_00,1511400,1511738
5738,SPEAKER_01,1515315,1521053
405,SPEAKER_00,1521340,1521745
38593,SPEAKER_01,1522420,1561013
321,SPEAKER_00,1524934,1525255
118,SPEAKER_00,1537236,1537354
389,SPEAKER_00,1542990,1543379
371,SPEAKER_00,1546534,1546905
34,SPEAKER_00,1553993,1554027
4033,SPEAKER_00,1559815,1563848
10210,SPEAKER_01,1564185,1574395
84,SPEAKER_00,1571054,1571138
371,SPEAKER_00,1574395,1574766
23338,SPEAKER_01,1575897,1599235
439,SPEAKER_00,1579086,1579525
1181,SPEAKER_00,1583170,1584351
304,SPEAKER_00,1585026,1585330
894,SPEAKER_00,1599134,1600028
2767,SPEAKER_01,1600028,1602795
4354,SPEAKER_00,1602795,1607149
10918,SPEAKER_01,1607757,1618675
692,SPEAKER_00,1613022,1613714
6244,SPEAKER_00,1618540,1624784
14529,SPEAKER_01,1625324,1639853
945,SPEAKER_00,1630656,1631601
320,SPEAKER_00,1635415,1635735
6919,SPEAKER_00,1637794,1644713
3662,SPEAKER_01,1643397,1647059
10024,SPEAKER_00,1646620,1656644
2667,SPEAKER_01,1648695,1651362
270,SPEAKER_01,1652307,1652577
17770,SPEAKER_01,1657234,1675004
1401,SPEAKER_00,1674683,1676084
11762,SPEAKER_01,1676691,1688453
253,SPEAKER_00,1683357,1683610
3257,SPEAKER_00,1688588,1691845
540,SPEAKER_01,1691220,1691760
35590,SPEAKER_00,1692570,1728160
337,SPEAKER_01,1693752,1694089
2937,SPEAKER_01,1727282,1730219
27017,SPEAKER_01,1730860,1757877
692,SPEAKER_00,1751987,1752679
12470,SPEAKER_00,1757320,1769790
5079,SPEAKER_01,1769875,1774954
3156,SPEAKER_00,1773975,1777131
1063,SPEAKER_01,1777469,1778532
8016,SPEAKER_00,1778768,1786784
8876,SPEAKER_01,1787830,1796706
1215,SPEAKER_00,1792032,1793247
9113,SPEAKER_00,1796520,1805633
2852,SPEAKER_01,1805768,1808620
9534,SPEAKER_00,1808620,1818154
8285,SPEAKER_01,1818222,1826507
372,SPEAKER_00,1820550,1820922
304,SPEAKER_00,1825461,1825765
7577,SPEAKER_00,1827199,1834776
3004,SPEAKER_01,1835400,1838404
2497,SPEAKER_01,1839012,1841509
20064,SPEAKER_00,1842387,1862451
43689,SPEAKER_01,1862451,1906140
405,SPEAKER_00,1863143,1863548
760,SPEAKER_00,1875664,1876424
388,SPEAKER_00,1885857,1886245
304,SPEAKER_00,1891358,1891662
878,SPEAKER_00,1893771,1894649
3695,SPEAKER_00,1906664,1910359
2953,SPEAKER_00,1911017,1913970
7510,SPEAKER_01,1913987,1921497
203,SPEAKER_00,1920889,1921092
9838,SPEAKER_00,1922560,1932398
7459,SPEAKER_01,1932465,1939924
6480,SPEAKER_00,1939283,1945763
3291,SPEAKER_01,1943839,1947130
5822,SPEAKER_00,1947130,1952952
3189,SPEAKER_01,1952952,1956141
4658,SPEAKER_00,1955837,1960495
34,SPEAKER_01,1960495,1960529
2616,SPEAKER_01,1961541,1964157
11442,SPEAKER_00,1964055,1975497
5637,SPEAKER_01,1975952,1981589
15542,SPEAKER_00,1981656,1997198
759,SPEAKER_01,1997198,1997957
14057,SPEAKER_00,1997957,2012014
43352,SPEAKER_00,2013229,2056581
91395,SPEAKER_00,2057307,2148702
8033,SPEAKER_00,2149579,2157612
8421,SPEAKER_00,2158354,2166775
58337,SPEAKER_00,2167399,2225736
3645,SPEAKER_00,2226327,2229972
42423,SPEAKER_00,2230664,2273087
61442,SPEAKER_00,2273796,2335238
25801,SPEAKER_00,2335964,2361765
9399,SPEAKER_00,2362356,2371755
13230,SPEAKER_00,2372532,2385762
2008,SPEAKER_00,2386690,2388698
4084,SPEAKER_00,2389373,2393457
